Date,Weighted,Volume
2011-07-25 03:07:00,14.195889,448277.2
2011-07-26 03:07:00,13.908957,233585.08
2011-07-27 03:07:00,13.958666,160645.54
2011-07-28 03:07:00,13.613749,445690.58
2011-07-29 03:07:00,13.50611,98020.73
2011-07-30 03:07:00,13.529702,82590.44
2011-07-31 03:07:00,13.519007,618135.5
2011-08-01 03:08:00,13.167732,286373.02
2011-08-02 03:08:00,12.393952,709463.16
2011-08-03 03:08:00,10.451391,943628.17
2011-08-04 03:08:00,10.57762,529876.35
2011-08-05 03:08:00,10.266857,315866.93
2011-08-06 03:08:00,7.82345,801213.08
2011-08-07 03:08:00,7.723362,693796.98
2011-08-08 03:08:00,7.74245,263570.19
2011-08-09 03:08:00,9.715181,1112123.77
2011-08-10 03:08:00,10.002226,242598.48
2011-08-11 03:08:00,9.474009,550577.88
2011-08-12 03:08:00,9.316096,387476.18
2011-08-13 03:08:00,9.796553,291543.08
2011-08-14 03:08:00,10.614133,468353.91
2011-08-15 03:08:00,11.301209,431203.74
2011-08-16 03:08:00,11.050769,169357.89
2011-08-17 03:08:00,10.878556,249104.68
2011-08-18 03:08:00,10.902696,89515.28
2011-08-19 03:08:00,11.396142,384289.87
2011-08-20 03:08:00,11.485657,113880.29
2011-08-21 03:08:00,11.378096,99220.98
2011-08-22 03:08:00,11.025343,407895.13
2011-08-23 03:08:00,11.034782,141019.11
2011-08-24 03:08:00,10.941406,85516.17
2011-08-25 03:08:00,10.006815,555232.04
2011-08-26 03:08:00,8.653877,718309.63
2011-08-27 03:08:00,8.626719,189777.37
2011-08-28 03:08:00,8.971405,216706.8
2011-08-29 03:08:00,8.933032,193411.57
2011-08-30 03:08:00,8.776986,103338.65
2011-08-31 03:08:00,8.351473,164091.75
2011-09-01 03:09:00,8.222295,97874.33
2011-09-02 03:09:00,8.443597,141975.28
2011-09-03 03:09:00,8.530965,59247.47
2011-09-04 03:09:00,8.174343,160817.86
2011-09-05 03:09:00,7.619556,234672.8
2011-09-06 03:09:00,6.7311,555289.16
2011-09-07 03:09:00,7.027028,348836.44
2011-09-08 03:09:00,6.801936,216888.79
2011-09-09 03:09:00,5.310199,1154613.99
2011-09-10 03:09:00,5.02563,223562.81
2011-09-11 03:09:00,6.071319,873010.64
2011-09-12 03:09:00,6.040012,385739.55
2011-09-13 03:09:00,5.83704,138683.87
2011-09-14 03:09:00,5.556492,243197.97
2011-09-15 03:09:00,4.981422,429502.83
2011-09-16 03:09:00,4.81528,152408.87
2011-09-17 03:09:00,4.806289,97582.47
2011-09-18 03:09:00,5.142279,229468.54
2011-09-19 03:09:00,5.289221,263597.81
2011-09-20 03:09:00,6.110703,713430.51
2011-09-21 03:09:00,5.632243,383918.85
2011-09-22 03:09:00,5.537221,175258.58
2011-09-23 03:09:00,5.612115,312415.09
