Date,Open,High,Low,Close,Weighted,Volume
2013-08-04 19:08:00,117.04,147,100.32,105,117.15353,5707.72
2013-08-04 23:08:00,105,147.37,90.25,101.87,109.330898,12568.68
2013-08-05 03:08:00,101.87,148.3,84.29,112.42,109.8006,7318.21
2013-08-05 07:08:00,112.42,142.18,89.85,139.65,106.185224,4024.42
2013-08-05 11:08:00,139.65,148.84,98.72,114.2,109.390448,1832.29
2013-08-05 15:08:00,114.2,122.96,99.52,112,112.595561,10804.67
2013-08-05 19:08:00,112,150.27,100.09,114.66,111.110132,41596.3
2013-08-05 23:08:00,114.66,125.25,84.05,117.7,112.766848,38151.28
2013-08-06 03:08:00,117.7,145.88,86.84,97.96,108.29082,7998.36
2013-08-06 07:08:00,97.96,148.85,85.64,112.97,110.886117,6445.81
2013-08-06 11:08:00,112.97,149.1,100.11,100.11,100.63279,314.88
2013-08-06 15:08:00,111.96,149.46,85.22,112.36,115.828166,6686.76
2013-08-06 19:08:00,112.36,142.73,85.6,100.04,101.97435,66194.61
2013-08-06 23:08:00,100.04,143.1,93.25,101.14,108.87243,36108.63
2013-08-07 03:08:00,101.14,148.4,92.01,103.05,106.627694,12020.14
2013-08-07 07:08:00,103.05,145.75,99.2,113.63,106.367206,4145.13
2013-08-07 11:08:00,113.63,148.5,113.63,148.5,145.861601,215
2013-08-07 15:08:00,148.5,148.5,85.12,109.02,110.236731,7040.82
2013-08-07 19:08:00,109.02,148.4,88.18,101.64,108.107895,37754.52
2013-08-07 23:08:00,101.64,148.52,87.45,110.13,107.225294,38864.88
2013-08-08 03:08:00,110.13,147.7,84.79,101.76,103.40146,12607.74
2013-08-08 07:08:00,101.76,140.32,91.19,91.19,116.366762,1218.36
2013-08-08 11:08:00,91.19,127.07,91.19,127.07,103.481894,1486
2013-08-08 15:08:00,127.07,135.66,88.68,108.98,106.587897,5741.89
2013-08-08 19:08:00,108.98,135.66,94.81,103.55,106.011011,25128.85
2013-08-08 23:08:00,103.55,138.21,82.2,104.17,104.787131,37357.66
2013-08-09 03:08:00,104.17,139.16,81.41,105.53,89.633234,31787.53
